ID;id_kepler;id_starterre;immatriculation;vin;state;date_insert_starterre;date_delete_starterre
540;3dybmfb6i;1eff5d3f-bcba-624e-a57a-8f9299981f7a;GT-791-XG;VR3USHNKKRJ553847;1;28/02/2025;
541;9jh8080l;1eff5d3f-bed9-657a-9a35-e1fc7ab31648;GT-644-WJ;VF3MCYHZURS020353;1;28/02/2025;
542;ok8zd4x;1eff5d3f-c1f4-64ee-bd1a-afdfd17f307b;FT-877-QC;ZFA3120000JE24786;1;28/02/2025;
543;9kmw;1eff5d3f-c493-6bfa-a8c5-eb40427ccd49;GY-412-FL;VR3FPHNSLPY557143;1;28/02/2025;
544;8tr330lm;1eff5d40-d6a6-6a80-8299-c157328c7af0;GT-899-VD;VF72RHNPMR4007634;1;28/02/2025;
545;2m0pjq5wc;1eff5d40-d85b-633a-9e0f-0d43d22bfb7e;GV-874-BE;VF7SXHNPYRT015893;1;28/02/2025;
546;3ai9myaim;1eff5d40-da5b-686a-813d-5b11ec0f23cb;FW-370-ZE;VR3EFYHWCLJ977089;1;28/02/2025;
548;2wcc0c5ut;1eff5d40-dde8-6208-8ae5-f708da5b7651;FP-498-QP;VF1WF000365501659;1;28/02/2025;
550;285m1rx;1eff5d40-e1cf-6650-b257-1b9d09357ee6;GE-223-GR;VF1RFE00X68284569;1;28/02/2025;
553;2mwepa6sk;1eff5d40-e751-6a1a-a23e-efcc4337d3ed;GV-320-KH;VF3MRHNS7RL012776;1;28/02/2025;
555;4cjqlz9q8;1eff5d40-eb0d-6366-8423-8db8dd3e3f03;GY-394-FW;VR7BBYHZBME069216;1;28/02/2025;
556;2pboyodog;1eff5d40-ed33-6848-944e-c1b5e2e789f6;GV-673-NK;VR7BAHNSBRE014789;1;28/02/2025;
559;kc2e2dc12;1eff5d42-3e67-609c-9bba-85c165c8d33a;GT-334-SR;VF3MRHNSMRS015038;1;28/02/2025;
560;5rl3b81st;1eff5d42-400c-6ed8-bde8-b5d5e25d0275;FV-163-DW;VF1RFB00666297457;1;28/02/2025;
563;2qq85n9vi;1eff5d42-45c9-6394-8d45-8760b969eba2;GT-943-VH;VR3UPHNEKR5009562;1;28/02/2025;
565;blfva7v5;1eff5d42-49df-680c-86e1-ef17a68e3f31;GT-137-VJ;VR3UPHNEKR5006608;1;28/02/2025;
569;2pu2hgv6u;1eff5d42-5233-6f44-8bbb-8fd7b2b70f49;GT-657-VF;VF72RHNPMP4366842;1;28/02/2025;
572;dhrwd7lrp;1eff5d42-5882-63aa-9ce5-f59c4c54855f;FT-408-VD;VF1RJA00666151875;1;28/02/2025;
576;anor2ccz1;1eff5d42-5fb4-60ce-84f2-7dd29b7b3df9;FY-458-FK;VF1RJA00367207362;1;28/02/2025;
577;6ulg0gwz4h;1eff5d42-6186-658c-8310-67ebf1b8216b;GC-108-GB;VF1RFB00267879792;1;28/02/2025;
582;a52fr1bj;1eff5d43-9e9d-67b2-a1c9-df226556581d;FZ-244-QL;VF1RFB00167055704;1;28/02/2025;
584;4jo99c0;1eff5d43-a312-6d6a-ac1e-eb2144a949f5;FT-352-LK;VF1RJB00866219745;1;28/02/2025;
585;6085dl7l;1eff5d43-a4e8-6c5c-bf5a-5d553d4cc24f;GV-323-KH;VF3MRHNS8RL012771;1;28/02/2025;
586;3h9la2gn;1eff5d43-a6cf-6818-aef5-3141119793b5;GV-121-NL;VR3FPHNS4RY528801;1;28/02/2025;
590;382zd55s7;1eff5d43-aed1-62d2-b4ce-5da2c5234d05;GC-219-KQ;VF1RFB00X67881788;1;28/02/2025;
594;ayxfh5fm;1eff5d43-b796-60f2-882f-e1f5a43619a9;FZ-308-WS;YAREFYHYCGJ959182;1;28/02/2025;
595;9s7g5d0h;1eff5d43-b983-6b12-b808-c7d9b42b7441;GY-888-EJ;VF72CYHSMP4120670;1;28/02/2025;
